year,s_init_J_GWh,OL_J_MNOK,OL_E_MNOK,OL_R_MNOK,OL_total_MNOK,CL_J_MNOK,CL_E_MNOK,CL_R_MNOK,CL_total_MNOK,PF_J_MNOK,PF_E_MNOK,PF_R_MNOK,PF_total_MNOK,VoF_J_MNOK,VoF_E_MNOK,VoF_R_MNOK,VoF_total_MNOK,regret_MNOK,OL_n_clamp_min,OL_n_clamp_max
2013,129.17365832,57.947418723780316,58.49437993459572,136.90174027245808,253.34353893083411,64.75229969188491,58.49437993459572,136.90174027245808,260.1484198989387,68.02603112747059,58.49437993459572,136.90174027245808,263.4221513345244,6.804880968104601,0.0,0.0,6.804880968104601,3.2737314355856775,0,0
2014,120.05957821000001,55.325764441761464,45.76261107154349,107.10398335893156,208.1923588722365,62.01657345761216,45.76261107154349,107.10398335893156,214.8831678880872,75.49570119706321,45.76261107154349,107.10398335893156,228.36229562753826,6.6908090158507,0.0,0.0,6.690809015850723,13.479127739451052,0,9
2015,126.7573086,46.72223079591932,35.8223026625716,83.83943176346541,166.38396522195634,52.86139350817896,35.8223026625716,83.83943176346541,172.52312793421595,50.92861761570191,35.8223026625716,83.83943176346541,170.59035204173892,6.139162712259643,0.0,0.0,6.139162712259621,-1.9327758924770355,0,2
2016,143.53988342,53.816464854369464,47.01121528593489,110.02624854154975,210.8539286818541,56.67279187281674,47.01121528593489,110.02624854154975,213.7102557003014,58.94611382969119,47.01121528593489,110.02624854154975,215.98357765717583,2.85632701844728,0.0,0.0,2.85632701844728,2.27332195687446,0,0
2017,109.85325965,52.7018197049258,54.11148469115838,126.64390034100902,233.4572047370932,55.39191551983023,54.11148469115838,126.64390034100902,236.14730055199763,63.36980525603252,54.11148469115838,126.64390034100902,244.12519028819992,2.6900958149044216,0.0,0.0,2.6900958149044216,7.977889736202299,0,0
2018,132.55916415000002,83.02704132547687,83.45788918930994,195.326974698385,361.8119052131718,84.6029829615369,83.45788918930994,195.326974698385,363.38784684923183,123.58954364567448,83.45788918930994,195.326974698385,402.37440753336944,1.5759416360600293,0.0,0.0,1.5759416360599994,38.98656068413758,0,0
2019,110.50212979999999,81.98043641719677,77.98058003090718,182.50774049786784,342.46875694597185,86.68752763573983,77.98058003090718,182.50774049786784,347.1758481645149,96.58502346724853,77.98058003090718,182.50774049786784,357.07334399602354,4.707091218543067,0.0,0.0,4.707091218543052,9.897495831508637,0,0
2020,119.4599096,29.72107301436806,19.699851044698597,46.10603435993288,95.52695841899953,31.668863922741693,19.699851044698597,46.10603435993288,97.47474932737317,32.57013070108212,19.699851044698597,46.10603435993288,98.37601610571359,1.9477909083736316,0.0,0.0,1.947790908373654,0.9012667783404141,0,0
2021,141.780328,194.87842061706613,153.82387531977872,360.01332521650335,708.7156211533483,170.74694899273712,153.82387531977872,360.01332521650335,684.5841495290191,281.2514431340713,153.82387531977872,360.01332521650335,795.0886436703535,-24.131471624329002,0.0,0.0,-24.13147162432909,110.50449414133429,0,0
2022,79.54546004000001,297.3118359047861,427.696210207434,999.5718825840236,1724.5799286962438,217.62811359955737,427.696210207434,999.5718825840236,1644.896206391015,613.2553007524784,427.696210207434,1000.9911302727178,2041.9426412326302,-79.68372230522874,0.0,0.0,-79.68372230522871,397.0464348416152,0,0
2023,103.76331741,224.12958929660698,182.1590022333121,426.32957969498574,832.6181712249048,262.6540051945944,182.1590022333121,426.32957969498574,871.1425871228922,310.13787696979506,182.1590022333121,426.32957969498574,918.6264588980929,38.524415897987424,0.0,0.0,38.52441589798749,47.483871775200605,0,0
2024,109.82608040000001,150.14823683466798,117.37224068588856,274.70098883931365,542.2214663598702,177.89430841819808,117.37224068588856,274.70098883931365,569.9675379434003,208.6479634543832,117.37224068588856,274.70098883931365,600.7211929795855,27.7460715835301,0.0,0.0,27.746071583530068,30.753655036185144,0,0
