date,value_mill_m3
1995-12-18,192.2416
1995-12-19,191.2354
1995-12-20,189.7262
1995-12-21,188.2301
1995-12-22,186.7605
1995-12-23,185.4543
1995-12-24,183.4943
1995-12-25,182.0246
1995-12-26,180.555
1995-12-27,178.5955
1995-12-28,176.9624
1995-12-29,176.1461
1995-12-30,174.6764
1995-12-31,173.3698
1996-01-01,171.9001
1996-01-02,170.267
1996-01-03,168.6344
1996-01-04,167.1643
1996-01-05,165.5317
1996-01-06,163.8986
1996-01-07,162.4289
1996-01-08,160.9593
1996-01-09,159.4892
1996-01-10,158.183
1996-01-11,156.8768
1996-01-12,155.5904
1996-01-13,154.6511
1996-01-14,154.6511
1996-01-15,154.1815
1996-01-16,152.7726
1996-01-17,151.3637
1996-01-18,149.9548
1996-01-19,148.5459
1996-01-20,146.9803
1996-01-21,145.5714
1996-01-22,144.162
1996-01-23,142.9099
1996-01-24,141.501
1996-01-25,140.0921
1996-01-26,138.6832
1996-01-27,137.1176
1996-01-28,135.552
1996-01-29,133.8302
1996-01-30,132.2646
1996-01-31,130.699
1996-02-01,129.1334
1996-02-02,127.5678
1996-02-03,126.0027
1996-02-04,124.439
1996-02-05,122.7271
1996-02-06,121.1715
1996-02-07,119.6154
1996-02-08,118.2151
1996-02-09,116.659
1996-02-10,114.9471
1996-02-11,113.2357
1996-02-12,111.6797
1996-02-13,110.1236
1996-02-14,108.5675
1996-02-15,107.1671
1996-02-16,105.6115
1996-02-17,104.2107
1996-02-18,102.6551
1996-02-19,101.099
1996-02-20,99.38712
1996-02-21,97.8315
1996-02-22,96.27541
1996-02-23,94.56356
1996-02-24,93.18346
1996-02-25,91.84387
1996-02-26,90.35528
1996-02-27,88.86669
1996-02-28,87.22955
1996-02-29,85.74097
1996-03-01,84.25238
1996-03-02,82.91278
1996-03-03,81.42419
1996-03-04,80.08459
1996-03-05,78.596
1996-03-06,76.80988
1996-03-07,75.17274
1996-03-08,73.53516
1996-03-09,71.89803
1996-03-10,70.26044
1996-03-11,68.62331
1996-03-12,66.98573
1996-03-13,65.34859
1996-03-14,63.71986
1996-03-15,62.18007
1996-03-16,60.64027
1996-03-17,59.10005
1996-03-18,57.69997
1996-03-19,56.16017
1996-03-20,54.61995
1996-03-21,52.94002
1996-03-22,51.26009
1996-03-23,49.58015
1996-03-24,47.90022
1996-03-25,46.21986
