iso_year,iso_week,fyllingsgrad,kapasitet_TWh,fylling_TWh
2003,18,0.1888229,34.04359,6.428209
2003,19,0.20890905,34.04359,7.1120143
2003,20,0.22650905,34.04359,7.711181
2003,21,0.2746784,34.04359,9.351039
2003,22,0.33735943,34.04359,11.484926
2003,23,0.4131131,34.04359,14.063852
2003,24,0.4617286,34.04359,15.7189
2003,25,0.5011698,34.04359,17.061619
2003,26,0.5388725,34.04359,18.345154
2003,27,0.5627817,34.04359,19.15911
2003,28,0.57782716,34.04359,19.67131
2003,29,0.5894736,34.04359,20.067797
2003,30,0.61625457,34.04359,20.979517
2003,31,0.6241372,34.04359,21.247871
2003,32,0.6154289,34.04359,20.95141
2003,33,0.6082589,34.04359,20.707317
2003,34,0.61524653,34.04359,20.945202
2003,35,0.6146434,34.04359,20.924667
2003,36,0.606817,34.04359,20.658228
2003,37,0.6223093,34.04359,21.185642
2003,38,0.63022274,34.04359,21.455046
2003,39,0.6677733,34.04359,22.7334
2003,40,0.6725673,34.04359,22.896605
2003,41,0.67565006,34.04359,23.001553
2003,42,0.6602326,34.04359,22.476688
2003,43,0.63798374,34.04359,21.719255
2003,44,0.62455475,34.04359,21.262087
2003,45,0.6204021,34.04359,21.120714
2003,46,0.6057195,34.04359,20.620867
2003,47,0.59527284,34.04359,20.265224
2003,48,0.58332795,34.04359,19.858578
2003,49,0.57010996,34.04359,19.40859
2003,50,0.55377465,34.04359,18.852476
2003,51,0.5424867,34.04359,18.468195
2003,52,0.54158586,34.04359,18.437527
2004,1,0.5232899,34.04359,17.814669
2004,2,0.5030668,34.04359,17.1262
2004,3,0.48201695,34.04359,16.409588
2004,4,0.45619458,34.04359,15.530501
2004,5,0.43355128,34.04359,14.759642
2004,6,0.43635505,34.04359,14.855093
2004,7,0.41665992,34.04359,14.1846
2004,8,0.39549282,34.04359,13.463995
2004,9,0.37273428,34.04359,12.689213
2004,10,0.34695315,34.04359,11.811531
2004,11,0.323617,34.04359,11.017085
2004,12,0.31893998,34.04359,10.857862
2004,13,0.298769,34.04359,10.171169
2004,14,0.28548342,34.04359,9.718881
2004,15,0.27539364,34.04359,9.375388
2004,16,0.27795827,34.04359,9.462697
2004,17,0.31514964,34.04359,10.728826
2004,18,0.34570086,34.04359,11.768898
2004,19,0.43684343,34.04359,14.871718
2004,20,0.47761554,34.04359,16.259747
2004,21,0.5028608,34.04359,17.119186
2004,22,0.5072091,34.04359,17.26722
2004,23,0.52147186,34.04359,17.752773
2004,24,0.54693395,34.04359,18.619596
2004,25,0.56461215,34.04359,19.221424
2004,26,0.57950556,34.04359,19.728449
2004,27,0.593263,34.04359,20.1968
2004,28,0.603412,34.04359,20.54231
2004,29,0.6128945,34.04359,20.86513
2004,30,0.62340915,34.04359,21.223085
2004,31,0.6256144,34.04359,21.29816
2004,32,0.62933725,34.04359,21.424898
2004,33,0.62464356,34.04359,21.26511
2004,34,0.62738,34.04359,21.358267
2004,35,0.64644134,34.04359,22.007183
2004,36,0.66869783,34.04359,22.764875
