date,value,quality
2000-08-01 00:00:00+00:00,91.0,3
2000-08-02 00:00:00+00:00,86.0,3
2000-08-03 00:00:00+00:00,77.0,3
2000-08-04 00:00:00+00:00,68.0,3
2000-08-05 00:00:00+00:00,58.0,3
2000-08-06 00:00:00+00:00,53.0,3
2000-08-07 00:00:00+00:00,55.0,3
2000-08-08 00:00:00+00:00,61.0,3
2000-08-09 00:00:00+00:00,65.0,3
2000-08-10 00:00:00+00:00,66.0,3
2000-08-11 00:00:00+00:00,64.0,3
2000-08-12 00:00:00+00:00,58.0,3
2000-08-13 00:00:00+00:00,56.0,3
2000-08-14 00:00:00+00:00,59.0,3
2000-08-15 00:00:00+00:00,65.0,3
2000-08-16 00:00:00+00:00,68.0,3
2000-08-17 00:00:00+00:00,73.0,3
2000-08-18 00:00:00+00:00,78.0,3
2000-08-19 00:00:00+00:00,84.0,3
2000-08-20 00:00:00+00:00,103.0,3
2000-08-21 00:00:00+00:00,111.0,3
2000-08-22 00:00:00+00:00,117.0,3
2000-08-23 00:00:00+00:00,122.0,3
2000-08-24 00:00:00+00:00,123.0,3
2000-08-25 00:00:00+00:00,125.0,3
2000-08-26 00:00:00+00:00,119.0,3
2000-08-27 00:00:00+00:00,119.0,3
2000-08-28 00:00:00+00:00,117.0,3
2000-08-29 00:00:00+00:00,117.0,3
2000-08-30 00:00:00+00:00,114.0,3
2000-08-31 00:00:00+00:00,109.0,3
2000-09-01 00:00:00+00:00,104.0,3
2000-09-02 00:00:00+00:00,102.0,3
2000-09-03 00:00:00+00:00,100.0,3
2000-09-04 00:00:00+00:00,99.0,3
2000-09-05 00:00:00+00:00,100.0,3
2000-09-06 00:00:00+00:00,105.0,3
2000-09-07 00:00:00+00:00,117.0,3
2000-09-08 00:00:00+00:00,129.0,3
2000-09-09 00:00:00+00:00,121.0,3
2000-09-10 00:00:00+00:00,117.0,3
2000-09-11 00:00:00+00:00,114.0,3
2000-09-12 00:00:00+00:00,115.0,3
2000-09-13 00:00:00+00:00,120.0,3
2000-09-14 00:00:00+00:00,121.0,3
2000-09-15 00:00:00+00:00,124.0,3
2000-09-16 00:00:00+00:00,137.0,3
2000-09-17 00:00:00+00:00,142.0,3
2000-09-18 00:00:00+00:00,146.0,3
2000-09-19 00:00:00+00:00,183.0,3
2000-09-20 00:00:00+00:00,175.0,3
2000-09-21 00:00:00+00:00,163.0,3
2000-09-22 00:00:00+00:00,156.0,3
2000-09-23 00:00:00+00:00,149.0,3
